"FullAddress", "Speed"
"120.52.73.136:8089","102"
"120.52.73.136:8090","98"
"120.52.73.137:8081","123"
"120.52.73.137:8091","111"
"120.52.73.138:100","118"
"120.52.73.138:80","116"
"120.52.73.138:8080","111"
"120.52.73.138:8081","112"
"120.52.73.138:8082","116"
"120.52.73.138:8083","118"
"120.52.73.138:8086","115"
"120.52.73.138:8087","115"
"120.52.73.138:8088","117"
"120.52.73.138:8089","118"
"120.52.73.138:8090","117"
"120.52.73.138:8091","112"
"120.52.73.138:8092","115"
"120.52.73.138:8093","115"
"120.52.73.138:8094","112"
"120.52.73.138:8100","117"
"120.52.73.138:90","114"
"120.52.73.139:100","105"
"120.52.73.139:80","106"
"120.52.73.139:8080","102"
"120.52.73.139:8081","101"
"120.52.73.139:8082","104"
"120.52.73.139:8083","104"
"120.52.73.139:8086","116"
"120.52.73.139:8087","106"
"120.52.73.139:8088","105"
"120.52.73.139:8089","104"
"120.52.73.139:8090","101"
"120.52.73.139:8091","107"
"120.52.73.139:8092","102"
"120.52.73.139:8093","114"
"120.52.73.139:8094","100"
"120.52.73.139:90","101"
"120.52.73.140:8083","103"
"120.52.73.140:8088","102"
"120.52.73.141:100","115"
"120.52.73.141:80","113"
"120.52.73.141:8080","114"
"120.52.73.141:8081","115"
"120.52.73.141:8083","114"
"120.52.73.141:8086","117"
"120.52.73.141:8088","114"
"120.52.73.141:8089","116"
"120.52.73.141:8090","115"
"120.52.73.141:8091","126"
"120.52.73.141:8092","113"
"120.52.73.141:8094","112"
"120.52.73.141:8100","113"
"120.52.73.142:100","114"
"120.52.73.142:80","116"
"120.52.73.142:8080","121"
"120.52.73.142:8081","113"
"120.52.73.142:8082","114"
"120.52.73.142:8083","112"
"120.52.73.142:8086","112"
"120.52.73.142:8087","112"
"120.52.73.142:8088","113"
"120.52.73.142:8089","112"
"120.52.73.142:8090","135"
"120.52.73.142:8091","111"
"120.52.73.142:8092","114"
"120.52.73.142:8093","113"
"120.52.73.142:8094","127"
"120.52.73.142:8100","112"
"120.52.73.142:90","124"
"120.52.73.144:80","111"
"120.52.73.144:8080","114"
"120.52.73.144:8081","105"
"120.52.73.144:8082","104"
"120.52.73.144:8090","131"
"120.52.73.144:8091","112"
"120.52.73.145:80","114"
"120.52.73.145:8080","114"
"120.52.73.145:8082","107"
"120.52.73.145:8089","114"
